algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	exchange	cw	N-tiw56n58_150	150	1119756	3.084321	0.240735
II	first	exchange	cw	N-tiw56n58_250	250	2822473	2.896248	4.9565
II	first	exchange	cw	N-tiw56n62_150	150	1579070	2.941200	0.216677
II	first	exchange	cw	N-tiw56n62_250	250	4018158	3.007354	4.44021
II	first	exchange	cw	N-tiw56n66_150	150	2041843	3.120868	0.238998
II	first	exchange	cw	N-tiw56n66_250	250	5182390	3.500928	4.72765
II	first	exchange	cw	N-tiw56n67_150	150	2286188	3.655318	0.242415
II	first	exchange	cw	N-tiw56n67_250	250	6169599	2.454743	4.83604
II	first	exchange	cw	N-tiw56n72_150	150	4008340	3.084378	0.323696
II	first	exchange	cw	N-tiw56n72_250	250	10890477	2.324985	4.99516
II	first	exchange	cw	N-tiw56r54_150	150	927425	3.210943	0.245282
II	first	exchange	cw	N-tiw56r54_250	250	2309958	3.241713	4.31943
II	first	exchange	cw	N-tiw56r58_150	150	1191130	2.309941	0.281051
II	first	exchange	cw	N-tiw56r58_250	250	2966777	3.056736	4.59397
II	first	exchange	cw	N-tiw56r66_150	150	1880077	3.126515	0.247295
II	first	exchange	cw	N-tiw56r66_250	250	4791704	3.166873	4.38991
II	first	exchange	cw	N-tiw56r67_150	150	1999757	2.751967	0.29641
II	first	exchange	cw	N-tiw56r67_250	250	5151351	2.614668	5.22646
II	first	exchange	cw	N-tiw56r72_150	150	2739065	2.999301	0.326536
II	first	exchange	cw	N-tiw56r72_250	250	7266706	2.480991	4.89318
II	first	insert	random	N-be75eec_150	150	3419060	1.830926	0.34227
II	first	insert	random	N-be75eec_250	250	8695911	2.222087	4.90207
II	first	insert	random	N-be75np_150	150	7116303	0.808745	0.334035
II	first	insert	random	N-be75np_250	250	17437911	2.111595	5.26827
II	first	insert	random	N-be75oi_150	150	2212119	1.531915	0.319234
II	first	insert	random	N-be75oi_250	250	5784346	2.127715	4.61554
II	first	insert	random	N-be75tot_150	150	11936955	2.854495	0.319107
II	first	insert	random	N-be75tot_250	250	30500814	1.478732	4.93572
II	first	insert	random	N-stabu1_150	150	2824108	1.795160	0.416138
II	first	insert	random	N-stabu1_250	250	7623629	1.534593	5.78496
II	first	insert	random	N-stabu2_150	150	4259868	1.563707	0.429688
II	first	insert	random	N-stabu2_250	250	11246083	2.211783	5.35895
II	first	insert	random	N-stabu3_150	150	4459764	1.123636	0.433595
II	first	insert	random	N-stabu3_250	250	11751489	1.250606	5.5027
II	first	insert	random	N-t59b11xx_150	150	3187265	1.613959	0.310753
II	first	insert	random	N-t59b11xx_250	250	8225225	2.219294	3.99729
II	first	insert	random	N-t59d11xx_150	150	1433021	2.028855	0.338542
II	first	insert	random	N-t59d11xx_250	250	3774817	1.727340	4.18337
II	first	insert	random	N-t59f11xx_150	150	1514993	1.861721	0.3028
II	first	insert	random	N-t59f11xx_250	250	3926619	1.662582	3.8876
II	first	insert	random	N-t59n11xx_150	150	311760	2.257336	0.28788
II	first	insert	random	N-t59n11xx_250	250	807724	2.166161	3.61401
II	first	insert	random	N-t65b11xx_150	150	6357867	1.487007	0.43941
